"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
170,Wrist Watch Roberge in steel 18kt Gold,"Mr. Shuja Shah, Principal Secretary   to   the   Prime
Minister",8/3/2004,"Rs.35,000/-","Rs.3,750/-","Amount deposited, gift
retained"
171,One sword,"Syed   Anwar   Mahmood,
Secretary  Information  & Broadcasting",8/3/2004,"Rs.4,000/-",Free of Cost,Retained
172,One small carpet,"Miss.      Rabbani      Khar, Parliamentary   Secretary, Economic Affairs Division",8/10/2004,"Rs.1,000/-",Free of cost,Retained
173,Book  on  Azerbaijan Cookery,"Miss.      Rabbani      Khar, Parliamentary   Secretary,
Economic Affairs Division",8/10/2004,NCV,Free of cost,Retained
174,Ceramic plate,"Miss.      Rabbani      Khar,
Parliamentary   Secretary, Economic Affairs Division",8/10/2004,"Rs.1,500/-",Free of cost,Retained
175,Mobile Phone NOKIA 6220,R/Admiral                 Asaf Humanyun SI (M),8/11/2004,"Rs. 13,500/-",Rs.525/-,"Amount deposited, gift retained"
176,Mobile Phone NOKIA 3100,"Cdr  M.  Qasim  Janjua,  SI (M)",8/11/2004,"Rs.7,500/-",Free of Cost,Retained
177,Mobile Phone NOKIA 3100,Captain Khalid Mahmood,8/11/2004,"Rs.7,500/-",Free of Cost,Retained
178,"a.  One Mobile Phone Motorola V291
b.  One MP-3 Player",Lt.    Cdr    M.    Jahanzeb Ahsan PN,8/11/2004,"a.  Rs.5,200/-
b.  Rs.4,500/-",Free of Cost,Retained
179,Mobile            Phone (Motorola V290),Mr.    Kazim    Altaf    AM (Tech),8/11/2004,"Rs.5,000/-",Free of Cost,Retained
180,Mobile            Phone (Motorola V290),Mr. Zahid Rizwan (Tech),8/11/2004,"Rs.5,000/-",Free of Cost,Retained
181,Mobile            Phone (Motorola V290),Mr.   Muazam   Hayat   AM (Tech),8/11/2004,"Rs.5,000/-",Free of Cost,Retained
182,Mobile            Phone (Motorola V290),"Mr.  Hasnain  Ali,  PN  AM (Tech)",8/11/2004,"Rs.5,000/-",Free of Cost,Retained
183,Mobile            Phone (Motorola V290),Mr.   Aqeel   Rashad   AM (Tech),8/11/2004,"Rs.5,000/-",Free of Cost,Retained
184,Mobile            Phone (Motorola V290),Mr.  Saqib  Mahmood  AM (Tech),8/11/2004,"Rs.5,000/-",Free of Cost,Retained
185,Three Piece Tea Set,"Mr. Shaukat Aziz, Finance Minister",8/12/2004,"Rs.4,000/-",Free of Cost,Retained
186,One  Woolen  Carpet (6x4),"Mr. Shaukat Aziz, Finance Minister",8/12/2004,"Rs.7,000/-",Free of Cost,Retained
187,One      Radio      and Recorder,"Mr. Shaukat Aziz, Finance Minister",8/12/2004,"Rs.1,800/-",Free of Cost,Retained
188,One             Scenery Painting,"Mr. Shaukat Aziz, Finance Minister",8/12/2004,"Rs.5,000/-",Free of Cost,Retained
189,One decoration plate,"Mr. Shaukat Aziz, Finance Minister",8/12/2004,"Rs.2,000/-",Free of Cost,Retained
190,One wooden box,"Mr. Shaukat Aziz, Minister Finance    and    Economic
Affairs",8/12/2004,Rs.500/-,Free of Cost,Retained
191,"One   Jewellery   box having  one  necklace
and a ring","General                 Parvez Musharraf,   President   of
Pakistan",8/16/2004,"Rs.195,000/-","Rs.27,750/-","Amount deposited, gift
retained"
192,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Maj   General   Shafatullah Shah,  Military  Secretary to President",8/25/2004,"a. Rs.45,000/-
b. Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
193,"a.  One  wrist  watch Bvlgari (gents)
b.  One  Wrist  Watch Bvlgari  (ladies)","Mohammad    Ijaz-ul-Haq, Federal      Minister      for Religious Affairs",8/26/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
194,One Jewellary box,"Brig. ®Mian Khalid Habib,
Chief of Protocol, Foreign Affairs",8/27/2004,"Rs.1,000/-",Free of Cost,Retained
195,One Metallic box,"Col.    Salik    Nawaz    ®, Deputy  Chief  of  Protocol,
Foreign Affairs",8/30/2004,Rs.800/-,Free of Cost,Retained
196,One souvenir,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",9/2/2004,NCV,Free of cost,Retained
197,A      wrist      watch Concord,"Col.  Salik  Nawaz,  DCVP, Foreign Affairs",9/11/2004,"Rs.30,000/-",Rs.3000/-,"Amount deposited, gift
retained"
198,One    Wrist    Watch Chaumat,"Muhammad  Saeed  Khan,
Deputy  Chief  of  Protocol, Foreign Affairs",9/13/2004,"Rs.30,000/-","Rs.3,000/-","Amount
deposited, gift retained"
199,One Ball Pen,"Mr.    Tanweer    Khalique, Protocol  Officer  (Admn  &
Accounts)",9/14/2004,"Rs.1,200/-",Free of Cost,Retained
200,One Ball Pen,"Mohammad  Kurshid,  P.A to    Chief    of    Protocol,
Foreign Affairs",9/14/2004,"Rs.1,200/-",Free of Cost,Retained
201,One     wrist     watch Concord,"Brig.      Tahir      Mahmud
Malik,  Military  Secretary to the Prime Minister",9/14/2004,"Rs.30,000/-","Rs.3,000/-","Amount
deposited, gift retained"
202,One wrist watch Paul Picot,Wife     of     Brig.     Tahir Mahmud Malik,9/14/2004,"Rs.50,000/-","Rs.6,000/-","Amount deposited, gift
retained"
203,One     wrist     watch Concord,"Brig.    Azhar    Mahmood,
Personal  Physician  to  the Prime Minister",9/14/2004,"Rs.30,000/-","Rs.3,000/-","Amount
deposited, gift retained"
204,One     wrist     watch Tissot,"Mr. Pervaiz Zahoor, Chief Security   Officer   to   the Prime Minister",9/14/2004,"Rs.10,000/-",Free of cost,Retained
205,One     wrist     watch,"Sqn.  Ldr.  Anwar  Karim,",9/14/2004,"Rs.30,000/-","Rs.3,000/-",Amount
,Concord,ADC to the Prime Minister,,,,"deposited, gift retained"
206,One     wrist     watch Tissot,"Major    Arif   Aziz    Khan, Security officer",9/14/2004,"Rs.14,000/-",Rs.600/-,"Amount
deposited, gift retained"
207,A wrist watch Tissot,"Capt.      (Retd.)      Abdul Majeed Niazi, PRO to  the
Prime Minister",9/14/2004,"Rs.10,000/-",Free of cost,Retained
208,A wrist watch Tissot,"Mr. M. Hassan, PS to the Prime Minister",9/14/2004,"Rs.10,000/-",Free of cost,Retained
209,A wrist watch Tissot,"Mr.     Shahzad     Hussain
LDC,      Prime      Minister Sectt.",9/14/2004,"Rs.10,000/-",Free of cost,Retained
210,A wrist watch Tissot,"Mr.      Khalid      Nadeem, Inspector, Gunman",9/14/2004,"Rs.14,000/-",Rs.600/-,"Amount deposited, gift retained"
211,A wrist watch Tissot,"Hav.  Abdul  Ghaffar,  SSG Gunman",9/14/2004,"Rs.14,000/-",Rs.600/-,"Amount deposited, gift
retained"
212,A wrist watch Tissot,"NK,   Sahib   Khan,   SSG Gunman",9/14/2004,"Rs.10,000/-",Free of cost,Retained
213,A wrist watch Tissot,"H/C   Muhammad   Bashir, Gunman",9/14/2004,"Rs.5,500/-",Free of cost,Retained
214,A wrist watch Tissot,"H/C Gulfraz Ali, Gunman",9/14/2004,"Rs.14,000/-",Free of cost,Retained
215,A wrist watch Tissot,"Constable    Rab    Nawaz, Gunman",9/14/2004,"Rs.5,500/-",Free of cost,Retained
216,A wrist watch Tissot,"Constable    Siraj    Khan, Gunman",9/14/2004,"Rs.10,000/-",Free of cost,Retained
217,A wrist watch Tissot,"Sep.  Irfan  ul  Haq,  SSG, Gunman",9/14/2004,"Rs.5,500/-",Free of cost,Retained
218,A wrist watch Trebor,"Constable  Miss.  Kalsoom Khan, Lady Gunman",9/14/2004,"Rs.45,000/-",Free of cost,Retained
219,A wrist watch Trebor,"Constable  Miss.  Shahzad Begum, Lady Gunman",9/14/2004,"Rs.45,000/-",Free of cost,Retained
220,A wrist watch Tissot,"Mr.   M.   Akram,   Nursing Assistant",9/14/2004,"Rs.14,000/-",Free of cost,Retained
221,A wrist watch Tissot,Mr. M. Pervez Valet,9/14/2004,"Rs.14,000/-",Free of cost,Retained
222,"a.  A    gent’s    wrist watch Bvlgari
b.  A    ladies    wrist watch Bvlgari","Mr.      Sheikh      Rasheed Ahmed,      Minister      for Information               and
Broadcasting",9/14/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
223,"a.  A    wrist    watch
gent’s Bvlgari
b.  a    ladies    wrist watch Bvlgari","Mr.   Aftab   Ahmed   Khan Sherpao,     Minister     of Interior",9/15/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
224,"Wrist   Watch   (Rado Florence,       Golden
Chain)","Shahid       Ali       Seehar, Protocol    Officer    (V-I),
Foreign Affairs",9/17/2004,"Rs.20,000/-","Rs.1,500/-","Amount deposited, gift
retained"
225,A wrist Watch Epos,"Brig.      Tahir      Mahmud
Malik,  Military  Secretary to the Prime Minister",9/20/2004,"Rs.55,000/-","Rs.6,750/-","Amount
deposited, gift retained"
226,"a.  One book
b.  One coin (silver)","Brig.      Tahir      Mahmud Malik,  Military  Secretary
to the Prime Minister",9/20/2004,"a.  NCV
b.  Rs. 303/-",Free of Cost,Retained
227,One       Tea       Set (ceramics),"Mr.      Jahangir      Khan, Tareen,      Minister      for
Industries,       Production and Special Initiatives",9/20/2004,"Rs.1,500/-",-,"Gift auctioned for Rs.3,911/-"
228,One    wall    hanging (decoration piece),"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",9/20/2004,"Rs.7,500/-",Free of cost,Retained
229,One Jewellery Set,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",9/20/2004,"Rs.227,505/-","Rs.32,626/-","Amount deposited, gift
retained"
230,One     wrist     watch Concord,"Mr.        Javed        Hafiz, Additional  Secretary,  M/o Foreign Affairs",9/20/2004,"Rs.30,000/-","Rs.3,000/-","Amount deposited, gift retained"
231,Wrist    watch    roles (DAYTONA),"General                 Parvez Musharraf,   President   of
Pakistan",9/21/2004,"Rs.725,000/-","Rs.107,250/-","Amount deposited, gift
retained"
232,A  Flower  Vase  in  a Wooden Case,"Mr. Muhammad Ilyas Dar,
Joint      Secretary      M/o Religious Affairs",9/22/2004,"Rs.4,000/-",Free of Cost,Retained
233,Souvenir in a frame,"Mr. Salim Iqbal, Sr. Joint",9/22/2004,"Rs.1,800/-",Free of Cost,Gift auctioned
,,"Secretary,  M/o  Religious Affairs",,,,"for Rs.2,000/-"
234,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Mr.   Habibullah   Waraich, Minister for defence",9/27/2004,"a. Rs.45,000/-
b. Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
235,One     wrist     watch Officina Del Tempo,"Mr.         Mohsin         Ali, photographer, PID",9/29/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift
retained"
236,"a.  One wrist watch Bvlgari (gents)
b.  One wrist watch Bvlgari (ladies)","Mr.   Babar   Khan   Gauri, Federal Minister  for  Ports and Shipping",9/29/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
237,Model     of     Khana Kabah,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",9/29/2004,"Rs.37,000/-","Rs.5,550/-","Amount deposited, gift
retained"
238,One bag with folder,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",9/29/2004,"Rs.1,500/-",Free of cost,Retained
239,"Box containing, wrist watch,    ball    ponts box   of   gold   green pen, perfume Deep, Tashbih,  Key  Chain, telephone       index,
higher           energy perfume","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",9/29/2004,"Rs.201,700/-","Rs.28,755/-","Amount deposited, gift retained"
240,Sword,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",9/29/2004,"Rs.19,760/-","Rs.1,464/-","Amount deposited, gift
retained"
241,One     wrist     watch Tissot,"Mr.         Mohsin         Ali, Photographer, PID",9/29/2004,"Rs.14,000/-",Rs.600/-,"Amount deposited, gift
retained"
242,One     wrist     watch Officina Del Tempo,"Mr.     Rafaqat     Hussain, Engineer PTV",9/30/2004,"Rs.18,000/-","Rs.1,200/-","Amount
deposited, gift retained"
243,One     wrist     watch,"Mr.     Rafaqat     Hussain,",9/30/2004,"Rs.14,000/-",Rs.600/-,Amount
,Tissot,Engineer PTV,,,,"deposited, gift retained"
244,One     wrist     watch Officina Del Tempo,"Ali Imran, Reporter, APP",10/6/2004,"Rs.18,000/-","Rs.1,200/-","Amount
deposited, gift retained"
245,One wrist of Officina Del temp,"Mr.    Muzammil    Ahmed Khan,     Controller     PTV
News, Islamabad",10/6/2004,"Rs. 18,000/-","Rs.1,200/-","Amount deposited, gift
retained"
246,Two cigarettes cases,"General                 Parvez
Musharraf,   President   of Pakistan",10/7/2004,"Rs.3,500/-",Free of cost,Retained
247,One decoration piece,"General                 Parvez Musharraf,   President   of Pakistan",10/7/2004,"Rs.6,500/-",Free of cost,Retained
248,One clay bowl,"General                 Parvez Musharraf,   President   of
Pakistan",10/7/2004,"Rs.5,000/-",Free of cost,Retained
249,"a.  One DVD-917V
b.  One book
c.  Two cds
d.  One cup
e.  One chadar","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/9/2004,"a.  Rs.3,200/-
b.  NCV
c.  NCV
d.  Rs.400/-
e.  Rs.1,000/-",Free of cost,Retained
250,One     wrist     watch Tissot,"Mr.       Saeed       Akhtar, Protocol   Assistant,   M/o Foreign Affairs",10/12/2004,"Rs.5,500/-",Free of cost,Retained
251,"a.  One Music CD
b.  One    Ball    Point (Mont Blanc) with scarf
c.  One          Crystal Decoration Piece","Mr.      Jahangir      Khan, Tareen,      Minister      for Industries,       Production and Special Initiatives",10/13/2004,"a.  Rs.60/-
b.  Rs.5,000/-
c.  Rs.3,000/-",-,"Gift auctioned
a.  for Rs.60/-
b.  for Rs.7,110/-
c.  for Rs.3,611/-"
252,Ball Pen,"Col.      Salik      Nawaz®, Deputy  Chief  of  Protocol,
Foreign Affairs",10/14/2004,"Rs.1,500/-",Free of Cost,Retained
253,One     wrist     watch Concord,"Mr.    Riaz    H.    Khokhar, Foreign Secretary",10/15/2004,"Rs.30,000/-","Rs.3,000/-","Amount deposited, gift"
,,,,,,retained
254,"Model       of       ship
“SAINT GERAN”","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/17/2004,"Rs.8,000/-",Free of cost,Retained
255,Pair of Horses,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/17/2004,"Rs.10,000/-",Free of cost,Retained
256,"a.  Wrist          watch Piaget
b.  Wrist          watch Chopard
c.  Four   bottles   of scent","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/19/2004,"a. Rs.375,000/-
b. Rs.120,000/-
c. Rs.8,000/-","Rs.73,950/-","Amount deposited, gift retained"
257,Ceramic flower vase,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/19/2004,Rs.650/-,Free of cost,Retained
258,One     wrist     watch Tissot,"Mr.  M.  Fayyaz  Chaudhry, Foreign      Editor,      APP, Islamabad",10/20/2004,"Rs.14,000/-",Rs.600/-,"Amount deposited, gift retained"
259,One    wooden    box (small),"Mr.  Sikandar  Hayat  Khan Bosan,    Minister    Food,
Agriculture & Livestock",10/21/2004,Rs.300/-,Free of Cost,Gift auctioned for Rs.652/-
260,One   concord   wrist watch,Mr.   Ali   Imran   Reporter APP,10/21/2004,"Rs.15,000/-",Rs.750/-,"Amount
deposited, gift retained"
261,Table clock,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/21/2004,"Rs.1,500/-",Free of cost,Retained
262,Decoration piece,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/21/2004,"Rs.5,500/-",Free of cost,Retained
263,"a.  One  Wrist  watch Bvlgari
b.  One  Wrist  watch Bvlgari","Mr.    Hamid    Yar    Hiraj, Minister    for    State    for Commerce",10/21/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
264,Mobile    set    Nokia (7260),"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/22/2004,"Rs.23,000/-","Rs.1,950/-","Amount
deposited, gift retained"
265,One     wrist     watch Officina Del Tempo,"Mr.   Muhammad   Younas Khan,  Chief  Cameraman,
PTV",10/23/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift
retained"
266,Wrist Watch Tissot,"Mr.   Muhammad   Younas
Khan   Chief   Cameraman PTV",10/23/2004,"Rs.5,500/-",Free of cost,Retained
267,"One  wrist  watch (Audmars   Piguet
No.C-7467)","Brig.(R)     Mian     Khalid Habib,  Chief  of  Protocol,
Foreign Affairs",10/24/2004,"Rs.375,000/-",-,"Auctioned for Rs.161,000/-"
268,One     wrist     watch Tissot,"Mr.       Hassan       Syed, Reporter PTV",10/25/2004,"Rs.14,000/-",Rs.600/-,"Amount
deposited, gift retained"
269,A Ball Point,"Mr.       Munir       Ahmed, Director      (P&C),      M/o Privatization",10/26/2004,Rs.200/-,Free of Cost,Retained
270,One     wrist     watch Officina Del Tempo,"Mr. Javed Iqbal Qureshi, Chief  News  Editor,  Urdu
Service, APPC, Islamabad",10/26/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift
retained"
271,One     wrist     watch Officina Del Tempo,"Mr.  Sohail  Nasir,  Photo- Editor, APPC, Islamabad",10/26/2004,"Rs.18,000/-","Rs.1,200/-","Amount
deposited, gift retained"
272,"Insignia                of
Commonwealth","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/26/2004,NCV,Free of cost,Retained
273,A book,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",10/26/2004,NCV,Free of cost,Retained
274,"a.  One  wrist  watch Bvlgari (gents)
b.  One  wrist  watch Bvlgari (ladies)","Mr.    Muhammad    Nasir Khan, Federal Minister for Health",10/27/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
275,"a.  One  Wrist  watch Bvlgari
b.  One  Wrist  watch Bvlgari","Ch.     Shabaz     Hussain, Minister    for    Population Welfare",10/28/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
276,One   concord   wrist watch,"Col.      Baber      Mumtaz,
Additional Security Officer to President",11/2/2004,"Rs.15,000/-",Rs.750/-,"Amount
deposited, gift retained"
277,"a.  One  wrist  watch Bvlgari (gents)
b.  One  wrist  watch Bvlgari (ladies)",Minister   for   Housing   & Works,11/4/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Gift auctioned
a. for Rs.28,110/-
b. for"
,,,,,,"Rs.28,110-"
278,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Senator Tariq Azim Khan, Minister    of    State    for Overseas Pakistanis",11/5/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
279,Stamp Album,"Brig.      Tahir      Mahmud
Malik,  Military  Secretary to the Prime Minister",11/6/2004,NCV,Free of Cost,Retained
280,A      scenery      duly framed,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/8/2004,"Rs.4,000/-",Free of cost,Retained
281,Two  dinner  sets  (48 pcs),"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/8/2004,"Rs.10,000/-",Free of cost,Retained
282,"a.  A dinner set
b.  A necklace Pearl
c.  A saree","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/8/2004,"a.  Rs.5,000/-
b.  Rs.10,000/-
c.  Rs.1,500/-",Rs.975/-,"Amount deposited, gift
retained"
283,A Jewellery box,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/8/2004,"Rs.3,200/-",Free of cost,Retained
284,Two    caps    &    two bags,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/8/2004,"Rs.1,200/-",Free of cost,Retained
285,"A  saree,  a  book,  a
hair  brush  and  two combs","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/8/2004,"Rs.2,000/-",Free of cost,Retained
286,Tea set 17 Pcs,"Miss.  Hina  Rabbani  Khar,
Minister    of    State    for Economic Affairs",11/11/2004,"Rs.3,000/-",Free of cost,Retained
287,A pullover & cap,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/11/2004,"Rs.6,000/-",Free of cost,Retained
288,One Mini DVD,"Mr.  Mumtaz  Malik,  Joint Secretary,        (EF-C&B),
Finance Division",11/12/2004,"Rs.4,200/-",Free of Cost,Retained
289,Woolen  Rug  and  a wooden marque,Foreign Secretary,11/12/2004,"Rs.2,500- Rs.800/-",Free of Cost,Retained
290,"a.  A carpet
b.  A shawl","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/20/2004,"a.  Rs.3,800/-
b.  Rs.1,800/-",Free of cost,Retained
291,Carpet,"General                 Parvez
Musharraf,   President   of Pakistan",11/22/2004,"Rs.22,000/-","Rs.1,800/-","Amount
deposited, gift retained"
292,"a.  One  wrist  watch Bvlgari (gents)
b.  One  wrist  watch Bvlgari (ladies)","Mr.   Rais   Munir   Ahmed, Ex-Minister    for    sports Culture & Youth",11/22/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
293,Three sceneries,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",11/22/2004,"Rs.2,000/-",Free of cost,Retained
294,Metallic Ash Tray decoration piece,"Mr.   Abdul   Ghafoor   A. Memon,   Director,   Public Relation, PID, Karachi",11/25/2004,"Within limit of Rs.
10,000/-",Free of Cost,"Retained but the gift was not
deposited as per Procedure"
